17 May 21:48:14,689 INFO - Log4j Properties configured.... 
17 May 21:54:33,821 ERROR - Clearing on object locator failed: By.name: email1 
17 May 21:55:03,866 ERROR - Sending data to the object locator Failed: By.name: email1Data is : sachintt 
17 May 21:55:04,013 INFO - Clearing on object locator : By.name: password 
17 May 21:55:04,252 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
17 May 21:55:04,406 INFO - Clearing on object locator : By.name: confirmPassword 
17 May 21:55:04,614 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
17 May 21:55:11,590 INFO - Clicking on object locator : By.name: register 
17 May 21:55:11,811 INFO - Closing Browser 
17 May 21:57:56,398 INFO - Log4j Properties configured.... 
17 May 21:57:57,533 INFO - Excel Properties configured.... 
17 May 21:57:57,534 INFO - Seelcted Browser is : chrome 
17 May 21:57:57,534 INFO - Seelcted Browser mode is : head 
17 May 21:58:09,218 INFO - Browser Maximized 
17 May 21:58:09,219 INFO - Seelcted Environment is qa 
17 May 21:58:09,220 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 21:58:11,021 INFO - Clearing on object locator : By.name: firstName 
17 May 21:58:11,278 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 21:58:11,439 INFO - Clearing on object locator : By.name: lastName 
17 May 21:58:11,698 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 21:58:11,869 INFO - Clearing on object locator : By.name: phone 
17 May 21:58:12,121 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 21:58:12,266 INFO - Clearing on object locator : By.name: userName 
17 May 21:58:12,632 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 21:58:12,770 INFO - Clearing on object locator : By.name: address1 
17 May 21:58:12,928 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 21:58:13,084 INFO - Clearing on object locator : By.name: city 
17 May 21:58:13,231 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 21:58:13,364 INFO - Clearing on object locator : By.name: postalCode 
17 May 21:58:13,551 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
17 May 21:58:44,003 ERROR - Clearing on object locator failed: By.name: email1 
17 May 21:58:44,003 ERROR - Expected condition failed: waiting for visibility of element located by By.name: email1 (tried for 30 second(s) with 500 milliseconds interval) 
17 May 21:58:44,655 INFO - Closing Browser 
17 May 22:00:48,663 INFO - Log4j Properties configured.... 
17 May 22:00:49,866 INFO - Excel Properties configured.... 
17 May 22:00:49,866 INFO - Seelcted Browser is : chrome 
17 May 22:00:49,867 INFO - Seelcted Browser mode is : head 
17 May 22:01:01,368 INFO - Browser Maximized 
17 May 22:01:01,369 INFO - Seelcted Environment is qa 
17 May 22:01:01,369 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 22:01:03,090 INFO - Clearing on object locator : By.name: firstName 
17 May 22:01:03,378 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 22:01:03,534 INFO - Clearing on object locator : By.name: lastName 
17 May 22:01:03,771 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 22:01:03,952 INFO - Clearing on object locator : By.name: phone 
17 May 22:01:04,193 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 22:01:04,346 INFO - Clearing on object locator : By.name: userName 
17 May 22:01:04,795 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 22:01:04,936 INFO - Clearing on object locator : By.name: address1 
17 May 22:01:05,091 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 22:01:05,240 INFO - Clearing on object locator : By.name: city 
17 May 22:01:05,438 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 22:01:05,577 INFO - Clearing on object locator : By.name: postalCode 
17 May 22:01:05,792 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
17 May 22:01:06,353 INFO - Clearing on object locator : By.name: email 
17 May 22:01:06,635 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
17 May 22:01:06,794 INFO - Clearing on object locator : By.name: password 
17 May 22:01:07,003 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
17 May 22:01:07,137 INFO - Clearing on object locator : By.name: confirmPassword 
17 May 22:01:07,370 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
17 May 22:01:14,621 INFO - Clicking on object locator : By.name: register 
17 May 22:01:14,792 INFO - Closing Browser 
17 May 22:04:43,877 INFO - Log4j Properties configured.... 
17 May 22:04:45,014 INFO - Excel Properties configured.... 
17 May 22:04:45,015 INFO - Seelcted Browser is : chrome 
17 May 22:04:45,015 INFO - Seelcted Browser mode is : head 
17 May 22:04:56,742 INFO - Browser Maximized 
17 May 22:04:56,743 INFO - Seelcted Environment is qa 
17 May 22:04:56,744 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 22:05:06,607 INFO - Clearing on object locator : By.name: firstName 
17 May 22:05:06,863 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 22:05:07,023 INFO - Clearing on object locator : By.name: lastName 
17 May 22:05:07,281 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 22:05:07,473 INFO - Clearing on object locator : By.name: phone 
17 May 22:05:07,689 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 22:05:07,811 INFO - Clearing on object locator : By.name: userName 
17 May 22:05:08,174 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 22:05:08,355 INFO - Clearing on object locator : By.name: address1 
17 May 22:05:08,560 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 22:05:08,910 INFO - Clearing on object locator : By.name: city 
17 May 22:05:09,263 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 22:05:09,399 INFO - Clearing on object locator : By.name: postalCode 
17 May 22:05:09,566 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
17 May 22:05:10,168 INFO - Clearing on object locator : By.name: email 
17 May 22:05:10,391 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
17 May 22:05:10,516 INFO - Clearing on object locator : By.name: password 
17 May 22:05:10,828 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
17 May 22:05:11,106 INFO - Clearing on object locator : By.name: confirmPassword 
17 May 22:05:11,299 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
17 May 22:06:07,519 INFO - Clicking on object locator : By.name: register 
17 May 22:06:07,731 INFO - Closing Browser 
23 May 13:33:43,604 INFO - Log4j Properties configured.... 
23 May 13:33:46,203 INFO - Excel Properties configured.... 
23 May 13:33:46,204 INFO - Seelcted Browser is : chrome 
23 May 13:33:46,205 INFO - Seelcted Browser mode is : head 
23 May 13:34:03,419 INFO - Browser Maximized 
23 May 13:34:03,420 INFO - Seelcted Environment is qa 
23 May 13:34:03,421 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 13:34:06,025 INFO - Clearing on object locator : By.name: firstName 
23 May 13:34:06,677 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 13:34:06,989 INFO - Clearing on object locator : By.name: lastName 
23 May 13:34:07,459 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 13:34:07,764 INFO - Clearing on object locator : By.name: phone 
23 May 13:34:08,177 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 13:34:08,384 INFO - Clearing on object locator : By.name: userName 
23 May 13:34:08,816 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 13:34:09,002 INFO - Clearing on object locator : By.name: address1 
23 May 13:34:09,206 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 13:34:09,341 INFO - Clearing on object locator : By.name: city 
23 May 13:34:09,552 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 13:34:09,702 INFO - Clearing on object locator : By.name: postalCode 
23 May 13:34:09,952 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 13:34:10,537 INFO - Clearing on object locator : By.name: email 
23 May 13:34:10,801 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 13:34:10,972 INFO - Clearing on object locator : By.name: password 
23 May 13:34:11,248 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 13:34:11,409 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 13:34:11,693 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 13:34:13,594 INFO - Clicking on object locator : By.name: register 
23 May 13:34:13,848 INFO - Closing Browser 
23 May 13:44:18,354 INFO - Log4j Properties configured.... 
23 May 13:44:19,599 INFO - Excel Properties configured.... 
23 May 13:44:19,600 INFO - Seelcted Browser is : chrome 
23 May 13:44:19,603 INFO - Seelcted Browser mode is : head 
23 May 13:44:31,742 INFO - Browser Maximized 
23 May 13:44:31,744 INFO - Seelcted Environment is qa 
23 May 13:44:31,744 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 13:44:33,607 INFO - Clearing on object locator : By.name: firstName 
23 May 13:44:33,824 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 13:44:33,978 INFO - Clearing on object locator : By.name: lastName 
23 May 13:44:34,171 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 13:44:34,317 INFO - Clearing on object locator : By.name: phone 
23 May 13:44:34,549 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 13:44:34,667 INFO - Clearing on object locator : By.name: userName 
23 May 13:44:35,252 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 13:44:35,496 INFO - Clearing on object locator : By.name: address1 
23 May 13:44:35,706 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 13:44:35,874 INFO - Clearing on object locator : By.name: city 
23 May 13:44:36,054 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 13:44:36,233 INFO - Clearing on object locator : By.name: postalCode 
23 May 13:44:36,455 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 13:44:37,034 INFO - Clearing on object locator : By.name: email 
23 May 13:44:37,298 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 13:44:37,521 INFO - Clearing on object locator : By.name: password 
23 May 13:44:37,786 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 13:44:37,937 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 13:44:38,205 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 13:44:40,227 INFO - Clicking on object locator : By.name: register 
23 May 13:44:40,344 INFO - Closing Browser 
23 May 13:45:49,793 INFO - Log4j Properties configured.... 
23 May 13:45:51,367 INFO - Excel Properties configured.... 
23 May 13:45:51,368 INFO - Seelcted Browser is : chrome 
23 May 13:45:51,368 INFO - Seelcted Browser mode is : head 
23 May 13:46:09,168 INFO - Browser Maximized 
23 May 13:46:09,169 INFO - Seelcted Environment is qa 
23 May 13:46:09,169 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 13:46:20,046 INFO - Clearing on object locator : By.name: firstName 
23 May 13:46:20,417 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 13:46:20,578 INFO - Clearing on object locator : By.name: lastName 
23 May 13:46:20,785 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 13:46:20,936 INFO - Clearing on object locator : By.name: phone 
23 May 13:46:21,151 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 13:46:21,356 INFO - Clearing on object locator : By.name: userName 
23 May 13:46:22,098 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 13:46:22,450 INFO - Clearing on object locator : By.name: address1 
23 May 13:46:22,785 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 13:46:22,972 INFO - Clearing on object locator : By.name: city 
23 May 13:46:23,146 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 13:46:23,291 INFO - Clearing on object locator : By.name: postalCode 
23 May 13:46:23,542 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 13:46:24,082 INFO - Clearing on object locator : By.name: email 
23 May 13:46:24,339 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 13:46:24,497 INFO - Clearing on object locator : By.name: password 
23 May 13:46:24,805 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 13:46:24,940 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 13:46:25,142 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 13:46:55,209 ERROR - Clicking on object locator failed: By.name: register123 
23 May 13:46:55,210 ERROR - Expected condition failed: waiting for visibility of element located by By.name: register123 (tried for 30 second(s) with 500 milliseconds interval) 
23 May 13:46:55,881 INFO - Closing Browser 
23 May 19:37:04,286 INFO - Log4j Properties configured.... 
23 May 19:37:05,205 INFO - Excel Properties configured.... 
23 May 19:37:05,205 INFO - Seelcted Browser is : chrome 
23 May 19:37:05,205 INFO - Seelcted Browser mode is : head 
23 May 19:37:16,920 INFO - Browser Maximized 
23 May 19:37:16,922 INFO - Seelcted Environment is qa 
23 May 19:37:16,922 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 19:37:18,777 INFO - Clearing on object locator : By.name: firstName 
23 May 19:37:18,977 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 19:37:19,079 INFO - Clearing on object locator : By.name: lastName 
23 May 19:37:19,240 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 19:37:19,358 INFO - Clearing on object locator : By.name: phone 
23 May 19:37:19,531 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 19:37:19,627 INFO - Clearing on object locator : By.name: userName 
23 May 19:37:19,980 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 19:37:20,095 INFO - Clearing on object locator : By.name: address1 
23 May 19:37:20,222 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 19:37:20,320 INFO - Clearing on object locator : By.name: city 
23 May 19:37:20,433 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 19:37:20,532 INFO - Clearing on object locator : By.name: postalCode 
23 May 19:37:20,673 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 19:37:21,053 INFO - Clearing on object locator : By.name: email 
23 May 19:37:21,234 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 19:37:21,340 INFO - Clearing on object locator : By.name: password 
23 May 19:37:21,515 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 19:37:21,629 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 19:37:21,804 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 19:37:51,936 ERROR - Clicking on object locator failed: By.name: register123 
23 May 19:37:51,936 ERROR - Expected condition failed: waiting for visibility of element located by By.name: register123 (tried for 30 second(s) with 500 milliseconds interval) 
23 May 19:37:57,232 INFO - Closing Browser 
23 May 19:50:03,927 INFO - Log4j Properties configured.... 
23 May 19:50:04,847 INFO - Excel Properties configured.... 
23 May 19:50:04,847 INFO - Seelcted Browser is : chrome 
23 May 19:50:04,848 INFO - Seelcted Browser mode is : head 
23 May 19:50:15,734 INFO - Browser Maximized 
23 May 19:50:15,735 INFO - Seelcted Environment is qa 
23 May 19:50:15,735 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 19:50:17,271 INFO - Clearing on object locator : By.name: firstName 
23 May 19:50:17,423 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 19:50:17,520 INFO - Clearing on object locator : By.name: lastName 
23 May 19:50:17,687 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 19:50:17,790 INFO - Clearing on object locator : By.name: phone 
23 May 19:50:17,942 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 19:50:18,039 INFO - Clearing on object locator : By.name: userName 
23 May 19:50:18,281 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 19:50:18,380 INFO - Clearing on object locator : By.name: address1 
23 May 19:50:18,506 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 19:50:18,594 INFO - Clearing on object locator : By.name: city 
23 May 19:50:18,693 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 19:50:18,777 INFO - Clearing on object locator : By.name: postalCode 
23 May 19:50:18,898 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 19:50:19,218 INFO - Clearing on object locator : By.name: email 
23 May 19:50:19,361 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 19:50:19,459 INFO - Clearing on object locator : By.name: password 
23 May 19:50:19,607 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 19:50:19,705 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 19:50:19,903 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 19:50:49,961 ERROR - Clicking on object locator failed: By.name: register123 
23 May 19:50:49,961 ERROR - Expected condition failed: waiting for visibility of element located by By.name: register123 (tried for 30 second(s) with 500 milliseconds interval) 
23 May 19:50:54,822 INFO - Closing Browser 
23 May 20:12:34,935 INFO - Log4j Properties configured.... 
23 May 20:12:35,864 INFO - Excel Properties configured.... 
23 May 20:12:35,865 INFO - Seelcted Browser is : chrome 
23 May 20:12:35,865 INFO - Seelcted Browser mode is : head 
23 May 20:12:46,868 INFO - Browser Maximized 
23 May 20:12:46,871 INFO - Seelcted Environment is qa 
23 May 20:12:46,872 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
23 May 20:12:48,548 INFO - Clearing on object locator : By.name: firstName 
23 May 20:12:49,186 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
23 May 20:12:49,305 INFO - Clearing on object locator : By.name: lastName 
23 May 20:12:49,833 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
23 May 20:12:49,983 INFO - Clearing on object locator : By.name: phone 
23 May 20:12:50,526 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
23 May 20:12:50,635 INFO - Clearing on object locator : By.name: userName 
23 May 20:12:51,257 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
23 May 20:12:51,365 INFO - Clearing on object locator : By.name: address1 
23 May 20:12:51,836 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
23 May 20:12:51,950 INFO - Clearing on object locator : By.name: city 
23 May 20:12:52,441 INFO - Sending data to the object locator : By.name: cityData is : HYD 
23 May 20:12:52,556 INFO - Clearing on object locator : By.name: postalCode 
23 May 20:12:53,051 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
23 May 20:12:53,463 INFO - Clearing on object locator : By.name: email 
23 May 20:12:53,982 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
23 May 20:12:54,107 INFO - Clearing on object locator : By.name: password 
23 May 20:12:54,592 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
23 May 20:12:54,694 INFO - Clearing on object locator : By.name: confirmPassword 
23 May 20:12:55,182 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
23 May 20:12:56,942 INFO - Clicking on the field : By.name: register 
23 May 20:12:57,662 INFO - Closing Browser 
24 May 21:53:46,175 INFO - Log4j Properties configured.... 
24 May 21:53:47,797 INFO - Excel Properties configured.... 
24 May 21:53:47,798 INFO - Seelcted Browser is : chrome 
24 May 21:53:47,799 INFO - Seelcted Browser mode is : head 
24 May 21:54:01,374 INFO - Browser Maximized 
24 May 21:54:01,386 INFO - Seelcted Environment is qa 
24 May 21:54:01,387 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
24 May 21:54:03,804 INFO - Clearing on object locator : By.name: firstName 
24 May 21:54:04,126 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
24 May 21:54:04,280 INFO - Clearing on object locator : By.name: lastName 
24 May 21:54:04,525 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
24 May 21:54:04,714 INFO - Clearing on object locator : By.name: phone 
24 May 21:54:04,994 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
24 May 21:54:05,143 INFO - Clearing on object locator : By.name: userName 
24 May 21:54:05,533 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
24 May 21:54:05,679 INFO - Clearing on object locator : By.name: address1 
24 May 21:54:05,852 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
24 May 21:54:06,006 INFO - Clearing on object locator : By.name: city 
24 May 21:54:06,162 INFO - Sending data to the object locator : By.name: cityData is : HYD 
24 May 21:54:06,325 INFO - Clearing on object locator : By.name: postalCode 
24 May 21:54:06,527 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
24 May 21:54:07,082 INFO - Clearing on object locator : By.name: email 
24 May 21:54:07,347 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
24 May 21:54:07,501 INFO - Clearing on object locator : By.name: password 
24 May 21:54:07,770 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
24 May 21:54:08,013 INFO - Clearing on object locator : By.name: confirmPassword 
24 May 21:54:08,285 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
24 May 21:54:18,830 INFO - Clicking on the field : By.name: register 
24 May 21:54:19,017 INFO - Closing Browser 
24 May 21:56:41,810 INFO - Log4j Properties configured.... 
24 May 21:56:43,238 INFO - Excel Properties configured.... 
24 May 21:56:43,239 INFO - Seelcted Browser is : chrome 
24 May 21:56:43,239 INFO - Seelcted Browser mode is : head 
24 May 21:56:55,149 INFO - Browser Maximized 
24 May 21:56:55,150 INFO - Seelcted Environment is qa 
24 May 21:56:55,151 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
24 May 21:56:56,834 INFO - Clearing on object locator : By.name: firstName 
24 May 21:56:57,199 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
24 May 21:56:57,393 INFO - Clearing on object locator : By.name: lastName 
24 May 21:56:57,628 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
24 May 21:56:57,786 INFO - Clearing on object locator : By.name: phone 
24 May 21:56:58,023 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
24 May 21:56:58,152 INFO - Clearing on object locator : By.name: userName 
